state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,recharge_total,minutes_total,calls_total,rechargesPerMinute,plan,churn,prob,cluster
FL,142,area_code_415,0,1,26,220.5,94,37.49,239.5,126,20.36,254.3,109,11.44,5.9,9,1.59,2,70.88000000000001,720.1999999999999,340,0.0984171063593446,Apenas Correio de Voz,0,0.02168866313466878,2
WA,29,area_code_415,0,0,0,157.4,122,26.76,145.0,75,12.33,281.8,92,12.68,9.3,2,2.51,1,54.28,593.5,292,0.0914574557708508,Nenhum,0,0.021337844664276143,0
HI,87,area_code_408,0,1,28,143.5,106,24.4,223.5,147,19.0,175.4,69,7.89,11.2,5,3.02,0,54.31,553.6,327,0.0981033236994219,Apenas Correio de Voz,0,0.021287348014509558,2
NE,149,area_code_415,0,0,0,156.0,56,26.52,56.0,116,4.76,163.3,104,7.35,8.9,8,2.4,0,41.03,384.2,284,0.106793336803748,Nenhum,0,0.021289599779369187,0
TN,146,area_code_408,1,0,0,160.1,63,27.22,208.4,112,17.71,177.6,98,7.99,9.2,3,2.48,2,55.4,555.3000000000001,278,0.0997658923104628,Apenas Internacional,0,0.021292304487485557,0
MD,88,area_code_415,1,0,0,235.1,98,39.97,251.8,79,21.4,285.9,76,12.87,7.2,2,1.94,4,76.17999999999999,780.0,259,0.0976666666666666,Apenas Internacional,1,0.9694549902049664,3
NM,119,area_code_415,1,1,15,160.0,95,27.2,209.5,110,17.81,82.3,107,3.7,8.7,5,2.35,5,51.06,460.5,322,0.1108794788273615,Ambos,1,0.9694178010339188,3
VT,48,area_code_510,0,0,0,188.4,63,32.03,165.9,89,14.1,205.7,71,9.26,13.2,2,3.56,1,58.95,573.2,226,0.1028436845778087,Nenhum,0,0.0212819906756732,1
OR,135,area_code_415,0,0,0,194.8,97,33.12,235.3,118,20.0,174.4,126,7.85,11.0,3,2.97,1,63.94,615.5,345,0.1038830219333874,Nenhum,0,0.02128551527819159,1
IN,100,area_code_510,0,0,0,247.8,117,42.13,130.0,95,11.05,134.3,125,6.04,6.9,2,1.86,1,61.080000000000005,519.0,340,0.1176878612716763,Nenhum,0,0.021776360471128287,1
MO,98,area_code_415,0,0,0,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4,72.1,738.4999999999999,280,0.0976303317535545,Nenhum,0,0.021281764732941924,1
FL,75,area_code_510,0,1,26,118.5,86,20.15,213.9,118,18.18,132.6,99,5.97,13.4,3,3.62,2,47.92,478.4,308,0.1001672240802675,Apenas Correio de Voz,0,0.02130536924575998,2
DC,180,area_code_415,0,1,33,231.8,78,39.41,232.9,79,19.8,206.9,121,9.31,7.6,4,2.05,1,70.57,679.2,283,0.1039016489988221,Apenas Correio de Voz,0,0.021289637113624395,2
VT,100,area_code_415,0,1,25,215.9,90,36.7,257.9,92,21.92,180.2,157,8.11,11.6,4,3.13,1,69.86,665.6,344,0.1049579326923076,Apenas Correio de Voz,0,0.02136366947826519,2
OH,119,area_code_415,0,1,35,217.1,92,36.91,220.8,134,18.77,249.5,93,11.23,8.0,5,2.16,2,69.07,695.4,326,0.0993241299971239,Apenas Correio de Voz,0,0.025570234779588287,2
MO,86,area_code_415,0,0,0,83.5,96,14.2,221.1,63,18.79,349.7,75,15.74,12.6,3,3.4,0,52.13,666.9,237,0.078167641325536,Nenhum,0,0.02168952298030312,0
LA,155,area_code_408,0,1,39,183.3,106,31.16,205.1,101,17.43,263.7,90,11.87,5.1,7,1.38,1,61.84,657.1999999999999,305,0.0940961655508216,Apenas Correio de Voz,0,0.021707222167364055,2
IL,78,area_code_415,1,0,0,236.8,141,40.26,265.3,101,22.55,152.4,77,6.86,9.5,2,2.57,1,72.24,664.0,322,0.1087951807228915,Apenas Internacional,1,0.9680280267523939,3
NJ,153,area_code_415,0,0,0,193.8,90,32.95,195.3,121,16.6,182.7,108,8.22,8.5,3,2.3,1,60.07,580.3,323,0.1035154230570394,Nenhum,0,0.0212923030048864,1
IA,92,area_code_510,0,1,25,134.0,112,22.78,206.0,111,17.51,180.6,118,8.13,9.7,4,2.62,0,51.040000000000006,530.3000000000001,345,0.0962474071280407,Apenas Correio de Voz,0,0.021311039829195456,2
WA,13,area_code_510,0,1,25,176.6,65,30.02,172.7,96,14.68,104.5,128,4.7,11.3,5,3.05,2,52.45,465.1,296,0.112771447000645,Apenas Correio de Voz,0,0.021346898985649503,2
NE,154,area_code_415,0,0,0,191.4,93,32.54,205.4,119,17.46,205.7,121,9.26,10.2,3,2.75,3,62.01,612.7,339,0.1012077688917904,Nenhum,0,0.02238809082042687,1
CT,144,area_code_510,1,1,35,174.8,127,29.72,219.6,93,18.67,255.8,90,11.51,12.8,3,3.46,0,63.36,663.0,313,0.0955656108597285,Ambos,0,0.02133629661984088,2
WV,48,area_code_408,0,0,0,275.2,67,46.78,180.2,108,15.32,159.0,110,7.15,7.9,2,2.13,1,71.38,622.3,288,0.1147035192029567,Nenhum,0,0.021380344146559323,1
ND,94,area_code_408,0,0,0,174.0,85,29.58,241.1,114,20.49,207.8,94,9.35,7.9,1,2.13,1,61.55,630.8000000000001,295,0.097574508560558,Nenhum,0,0.021300708132985458,1
UT,139,area_code_415,0,0,0,165.0,132,28.05,249.7,86,21.22,170.3,128,7.66,12.6,8,3.4,1,60.32999999999999,597.6,355,0.1009538152610441,Nenhum,0,0.021292871079859454,1
MS,126,area_code_415,0,0,0,228.7,102,38.88,168.7,99,14.34,223.5,100,10.06,11.8,4,3.19,1,66.47,632.6999999999999,306,0.1050576892682156,Nenhum,0,0.021301343198847276,1
MN,122,area_code_415,0,0,0,107.9,88,18.34,235.8,109,20.04,228.6,119,10.29,9.5,3,2.57,2,51.24,581.8000000000001,321,0.0880715022344448,Nenhum,0,0.021340813841284806,0
NH,139,area_code_510,0,0,0,221.3,140,37.62,157.8,89,13.41,192.5,89,8.66,11.3,6,3.05,1,62.74,582.9,325,0.1076342425802024,Nenhum,0,0.02128356311457584,1
LA,95,area_code_415,0,0,0,141.1,84,23.99,211.4,108,17.97,103.7,127,4.67,5.9,6,1.59,3,48.22,462.1,328,0.1043497078554425,Nenhum,0,0.022063597459967364,0
ME,80,area_code_408,0,1,31,166.4,92,28.29,238.3,74,20.26,150.7,84,6.78,10.7,4,2.89,4,58.22,566.1000000000001,258,0.1028440204910792,Apenas Correio de Voz,0,0.021945198413777036,2
KS,131,area_code_415,0,1,28,249.6,87,42.43,227.2,138,19.31,239.9,92,10.8,7.6,3,2.05,3,74.58999999999999,724.3,323,0.1029821897004003,Apenas Correio de Voz,0,0.02152524361089197,2
KS,36,area_code_510,0,0,0,178.6,83,30.36,213.1,103,18.11,198.0,119,8.91,10.9,5,2.94,1,60.31999999999999,600.6,311,0.1004329004329004,Nenhum,0,0.021318204678909023,1
NV,180,area_code_510,0,0,0,139.0,96,23.63,224.9,64,19.12,170.8,118,7.69,15.7,5,4.24,2,54.68,550.4000000000001,285,0.0993459302325581,Nenhum,0,0.021417163336300334,0
MT,25,area_code_415,0,0,0,134.3,98,22.83,202.3,109,17.2,195.9,100,8.82,12.6,5,3.4,2,52.25,545.1,314,0.095853971748303,Nenhum,0,0.021411390570774548,0
MT,113,area_code_415,0,0,0,215.9,93,36.7,240.1,85,20.41,156.7,123,7.05,4.9,5,1.32,3,65.47999999999999,617.6,309,0.1060233160621761,Nenhum,0,0.02146149499694309,1
ID,88,area_code_415,0,1,31,181.6,91,30.87,213.2,120,18.12,207.8,104,9.35,11.4,4,3.08,1,61.42,613.9999999999999,320,0.1000325732899023,Apenas Correio de Voz,0,0.021332419444578317,2
AK,120,area_code_415,0,0,0,178.4,97,30.33,168.3,113,14.31,120.5,93,5.42,9.3,9,2.51,1,52.57,476.50000000000006,313,0.1103252885624344,Nenhum,0,0.0214504028487425,0
UT,74,area_code_415,0,0,0,106.4,84,18.09,140.2,104,11.92,90.9,81,4.09,11.4,3,3.08,1,37.17999999999999,348.9,273,0.1065634852393235,Nenhum,0,0.021291314994560755,0
AR,109,area_code_510,0,0,0,170.7,101,29.02,240.2,82,20.42,119.0,112,5.36,11.4,4,3.08,2,57.88,541.3,301,0.1069277664880842,Nenhum,0,0.02735611314289408,1
LA,162,area_code_510,0,1,33,184.5,139,31.37,183.2,78,15.57,127.4,106,5.73,12.3,6,3.32,0,55.99,507.4,329,0.1103468663776113,Apenas Correio de Voz,0,0.021352544466723713,2
KS,124,area_code_510,0,1,37,161.2,109,27.4,204.2,79,17.36,231.5,87,10.42,8.9,4,2.4,1,57.58,605.8,280,0.0950478705843512,Apenas Correio de Voz,0,0.02133045271216452,2
OR,177,area_code_408,0,0,0,84.9,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2,47.82,560.4,259,0.0853319057815845,Nenhum,0,0.023852707968507345,0
WI,91,area_code_510,0,0,0,217.9,71,37.04,230.1,116,19.56,232.1,110,10.44,10.6,2,2.86,1,69.89999999999999,690.7,300,0.1012016794556247,Nenhum,0,0.021997476007330895,1
CO,105,area_code_408,0,0,0,270.9,98,46.05,226.2,110,19.23,178.8,60,8.05,8.8,5,2.38,0,75.71,684.6999999999999,273,0.110573974003213,Nenhum,1,0.9694530488184858,3
KS,24,area_code_510,0,0,0,243.0,91,41.31,183.9,77,15.63,184.3,109,8.29,15.3,6,4.13,0,69.36,626.5,283,0.1107102952913008,Nenhum,1,0.8567633008031994,3
IL,48,area_code_510,0,0,0,128.2,71,21.79,48.1,78,4.09,116.3,80,5.23,8.9,3,2.4,0,33.51,301.49999999999994,232,0.1111442786069651,Nenhum,0,0.021283144967430133,0
IA,86,area_code_408,0,0,0,126.3,115,21.47,168.8,112,14.35,154.6,95,6.96,9.8,7,2.65,2,45.43,459.50000000000006,331,0.0988683351468987,Nenhum,0,0.021539364798383562,0
AZ,163,area_code_510,0,0,0,178.7,56,30.38,215.7,79,18.33,152.7,84,6.87,10.6,2,2.86,4,58.43999999999999,557.6999999999999,225,0.1047875201721355,Nenhum,0,0.02255134667950059,1
NE,91,area_code_510,0,0,0,159.0,109,27.03,255.1,142,21.68,82.4,73,3.71,10.1,4,2.73,0,55.15,506.6,328,0.1088630082905645,Nenhum,0,0.02131103625776279,0
ID,56,area_code_510,0,0,0,150.9,79,25.65,161.8,87,13.75,167.7,115,7.55,11.7,5,3.16,3,50.11,492.1,289,0.1018288965657386,Nenhum,0,0.02128978120271008,0
OH,147,area_code_415,1,1,24,219.9,118,37.38,208.5,116,17.72,352.5,111,15.86,8.1,4,2.19,3,73.15,789.0,352,0.0927122940430925,Ambos,0,0.02144143621064644,2
TX,64,area_code_415,0,0,0,168.0,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,55.13,537.0,313,0.1026629422718808,Nenhum,0,0.021283628102424356,1
TN,108,area_code_510,0,1,34,162.1,83,27.56,171.8,117,14.6,259.8,76,11.69,9.6,3,2.59,4,56.44,603.3000000000001,283,0.093552129951931,Apenas Correio de Voz,1,0.9682165234774553,3
OK,159,area_code_510,0,0,0,198.8,107,33.8,195.5,91,16.62,213.3,120,9.6,16.5,7,4.46,5,64.48,624.1,330,0.103316776157667,Nenhum,0,0.021312898151964018,1
ND,136,area_code_510,1,0,0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,9.1,10,2.46,3,72.13999999999999,639.6,289,0.1127892432770481,Apenas Internacional,0,0.021344141877669497,1
MT,116,area_code_415,0,1,35,182.8,122,31.08,212.7,119,18.08,193.8,103,8.72,11.0,2,2.97,1,60.85,600.3,347,0.1013659836748292,Apenas Correio de Voz,0,0.021286685997830578,2
NC,45,area_code_408,0,1,38,196.8,92,33.46,254.2,108,21.61,261.8,85,11.78,7.7,2,2.08,1,68.92999999999999,720.5,288,0.0956696738376127,Apenas Correio de Voz,0,0.021283239520142737,2
MN,122,area_code_415,0,0,0,140.1,120,23.82,231.4,128,19.67,188.1,127,8.46,11.2,5,3.02,2,54.970000000000006,570.8000000000001,382,0.0963034337771548,Nenhum,0,0.021332385290742793,0
MN,138,area_code_415,0,0,0,194.3,83,33.03,189.9,97,16.14,232.2,102,10.45,9.0,3,2.43,5,62.05,625.4000000000001,290,0.0992165014390789,Nenhum,0,0.025959610309379638,1
MA,132,area_code_415,0,0,0,117.6,66,19.99,214.0,108,18.19,239.5,94,10.78,8.8,5,2.38,1,51.34,579.9,274,0.0885325056044145,Nenhum,0,0.022995601226812348,0
PA,101,area_code_415,1,0,0,193.7,108,32.93,186.6,98,15.86,223.0,100,10.04,11.6,8,3.13,0,61.96,614.9,314,0.1007643519271426,Apenas Internacional,0,0.021378255718401223,1
GA,58,area_code_510,0,0,0,243.1,105,41.33,231.4,108,19.67,180.9,120,8.14,7.8,4,2.11,2,71.25,663.1999999999999,339,0.1074336550060313,Nenhum,0,0.023342386519817585,1
NV,81,area_code_415,0,0,0,145.4,132,24.72,129.3,91,10.99,186.4,109,8.39,5.2,4,1.4,1,45.5,466.3,337,0.097576667381514,Nenhum,0,0.02128268944635496,0
TX,87,area_code_415,0,0,0,169.1,105,28.75,169.9,102,14.44,244.9,106,11.02,9.9,10,2.67,3,56.88,593.8,326,0.0957898282249915,Nenhum,0,0.021282529739565667,1
ME,116,area_code_510,0,0,0,229.3,93,38.98,184.5,111,15.68,168.2,91,7.57,8.8,3,2.38,2,64.61,590.8,300,0.1093601895734597,Nenhum,0,0.022291541533116282,1
RI,85,area_code_415,1,0,0,197.2,97,33.52,211.7,115,17.99,210.1,133,9.45,8.3,4,2.24,4,63.20000000000001,627.3,353,0.1007492427865455,Apenas Internacional,0,0.021904272965368562,1
MN,62,area_code_510,0,1,33,186.4,84,31.69,201.0,136,17.09,286.7,103,12.9,11.1,3,3.0,2,64.68,685.1999999999999,328,0.0943957968476357,Apenas Correio de Voz,1,0.819127795415769,3
NH,90,area_code_415,0,0,0,76.1,121,12.94,290.3,73,24.68,236.9,89,10.66,10.8,3,2.92,0,51.2,614.0999999999999,286,0.0833740433154209,Nenhum,0,0.02134578162217051,0
TN,98,area_code_415,0,0,0,162.8,65,27.68,185.0,109,15.73,219.5,104,9.88,6.0,3,1.62,2,54.91,573.3,283,0.0957788243502529,Nenhum,0,0.021291428462396837,0
UT,73,area_code_415,0,0,0,182.3,115,30.99,199.2,97,16.93,120.2,113,5.41,18.0,5,4.86,1,58.19,519.7,331,0.1119684433326919,Nenhum,0,0.02236177831641216,1
RI,107,area_code_510,1,0,0,194.4,83,33.05,247.8,84,21.06,245.4,93,11.04,11.2,7,3.02,2,68.17,698.8000000000001,269,0.097552947910704,Apenas Internacional,0,0.02154199458893572,1
NH,55,area_code_408,0,1,20,189.3,95,32.18,118.6,113,10.08,250.2,102,11.26,12.5,4,3.38,2,56.9,570.5999999999999,316,0.0997195934104451,Apenas Correio de Voz,0,0.02228877699715335,2
AK,76,area_code_415,0,1,22,160.1,107,27.22,168.7,136,14.34,23.2,102,1.04,9.5,4,2.57,3,45.17,361.5,352,0.1249515905947441,Apenas Correio de Voz,0,0.021434859528622147,2
NC,30,area_code_510,0,0,0,145.0,76,24.65,240.7,112,20.46,197.1,134,8.87,7.1,4,1.92,3,55.9,589.9,329,0.0947618240379725,Nenhum,0,0.02128335013316738,0
AZ,157,area_code_415,0,0,0,220.7,105,37.52,119.3,127,10.14,165.1,113,7.43,11.5,7,3.11,4,58.2,516.6,356,0.1126596980255516,Nenhum,0,0.021303917067356716,1
MA,40,area_code_408,0,1,31,224.7,69,38.2,134.5,81,11.43,120.3,104,5.41,7.5,5,2.03,1,57.07000000000001,487.0,260,0.1171868583162217,Apenas Correio de Voz,1,0.8453028748125186,3
TN,72,area_code_408,0,0,0,147.0,79,24.99,162.3,103,13.8,162.9,80,7.33,10.5,4,2.84,1,48.96,482.7000000000001,267,0.1014294592914853,Nenhum,0,0.021701581148751717,0
WY,95,area_code_415,0,1,39,260.8,130,44.34,213.4,111,18.14,195.6,97,8.8,10.1,5,2.73,1,74.01,679.9000000000001,344,0.1088542432710692,Apenas Correio de Voz,0,0.021656423834276864,2
IA,42,area_code_415,0,0,0,155.4,127,26.42,164.1,45,13.95,157.7,128,7.1,9.0,3,2.43,0,49.900000000000006,486.2,303,0.1026326614561908,Nenhum,0,0.027487483450257238,0
IN,86,area_code_415,0,0,0,166.2,112,28.25,255.3,81,21.7,228.1,97,10.26,5.4,7,1.46,1,61.67,655.0,298,0.0941526717557252,Nenhum,0,0.021342891693319856,1
NJ,131,area_code_415,0,0,0,211.8,115,36.01,260.5,102,22.14,144.2,96,6.49,10.8,7,2.92,0,67.56,627.3,320,0.1076996652319464,Nenhum,0,0.02159243632611357,1
FL,55,area_code_510,0,1,45,130.5,114,22.19,208.4,94,17.71,141.6,114,6.37,11.0,5,2.97,4,49.24,491.5,331,0.1001831129196337,Apenas Correio de Voz,1,0.969195326242755,3
MT,74,area_code_415,0,0,0,162.7,102,27.66,292.0,105,24.82,183.3,80,8.25,8.7,6,2.35,0,63.080000000000005,646.7,293,0.0975413638472243,Nenhum,0,0.021881555089974337,1
ND,81,area_code_408,1,1,37,237.1,76,40.31,264.2,125,22.46,271.3,120,12.21,7.9,3,2.13,1,77.11,780.4999999999999,325,0.0987956438180653,Ambos,0,0.02186114366162677,2
MI,81,area_code_408,0,0,0,166.2,102,28.25,217.6,112,18.5,220.2,68,9.91,13.2,2,3.56,4,60.22,617.2,288,0.0975696694750486,Nenhum,0,0.02149241430380564,1
MT,28,area_code_415,0,0,0,121.7,48,20.69,125.8,112,10.69,261.6,122,11.77,8.3,2,2.24,6,45.39000000000001,517.4,290,0.0877270970235794,Nenhum,1,0.9692228402858764,3
AL,111,area_code_510,0,0,0,176.4,62,29.99,201.0,124,17.09,150.4,138,6.77,11.2,2,3.02,0,56.87,539.0,326,0.1055102040816326,Nenhum,0,0.02291085402288721,1
NV,3,area_code_510,0,1,27,67.4,116,11.46,244.0,78,20.74,281.1,93,12.65,11.4,2,3.08,2,47.93,603.9,291,0.0793674449412154,Apenas Correio de Voz,0,0.021304037882133618,2
MI,51,area_code_415,0,0,0,229.7,129,39.05,336.0,104,28.56,192.8,128,8.68,9.6,1,2.59,1,78.88,768.1,363,0.1026949615935425,Nenhum,1,0.9694127792963986,3
FL,68,area_code_415,0,1,24,176.0,118,29.92,277.9,116,23.62,174.7,71,7.86,14.7,7,3.97,1,65.37,643.3,313,0.1016166640758588,Apenas Correio de Voz,0,0.02128444086495083,2
NY,163,area_code_408,0,0,0,247.7,77,42.11,269.5,108,22.91,167.3,82,7.53,9.6,7,2.59,0,75.14,694.1,274,0.1082552946261345,Nenhum,1,0.9691082513074354,3
KS,87,area_code_510,0,0,0,115.4,90,19.62,262.6,68,22.32,245.7,69,11.06,13.1,5,3.54,2,56.54,636.8000000000001,234,0.088787688442211,Nenhum,0,0.0212990923776649,0
NC,58,area_code_510,0,0,0,112.2,95,19.07,209.6,108,17.82,260.9,78,11.74,13.9,1,3.75,0,52.38,596.6,282,0.0877975192758967,Nenhum,1,0.8580287366128216,3
MN,109,area_code_408,0,0,0,162.6,138,27.64,154.0,109,13.09,209.7,118,9.44,11.5,4,3.11,0,53.28,537.8,369,0.0990702863518036,Nenhum,0,0.021359799030137534,0
RI,111,area_code_415,0,0,0,229.4,107,39.0,214.1,99,18.2,289.6,95,13.03,10.4,6,2.81,4,73.04,743.5,311,0.0982380632145259,Nenhum,0,0.021355071822164028,1
UT,144,area_code_415,0,0,0,139.6,96,23.73,124.2,93,10.56,95.6,75,4.3,15.0,4,4.05,2,42.63999999999999,374.4,270,0.1138888888888888,Nenhum,0,0.02130036097803272,0
OR,135,area_code_415,0,0,0,263.8,66,44.85,251.3,116,21.36,200.1,112,9.0,8.4,2,2.27,5,77.48,723.6,301,0.1070757324488667,Nenhum,1,0.9694457539716879,3
SC,109,area_code_415,0,1,46,217.5,123,36.98,233.7,84,19.86,163.9,99,7.38,9.0,3,2.43,4,66.65,624.1,313,0.1067937830475885,Apenas Correio de Voz,0,0.021285991585324227,2
IL,107,area_code_415,0,1,14,114.3,132,19.43,199.8,91,16.98,194.7,74,8.76,7.5,8,2.03,1,47.2,516.3,306,0.0914197172186713,Apenas Correio de Voz,0,0.022547242718201292,0
OH,149,area_code_408,0,0,0,196.3,108,33.37,136.8,96,11.63,154.7,87,6.96,7.7,3,2.08,2,54.04,495.5,296,0.1090615539858728,Nenhum,0,0.021285355358148142,1
MA,56,area_code_510,0,0,0,253.2,95,43.04,188.0,116,15.98,142.0,133,6.39,4.4,4,1.19,1,66.6,587.6,349,0.1133424098025867,Nenhum,0,0.02134850764819403,1
OR,129,area_code_408,0,0,0,98.0,99,16.66,240.7,62,20.46,254.8,123,11.47,10.5,4,2.84,0,51.43000000000001,604.0,288,0.0851490066225165,Nenhum,0,0.021324239209672365,0
CA,92,area_code_408,0,0,0,249.4,118,42.4,211.5,95,17.98,169.0,116,7.61,9.1,3,2.46,0,70.44999999999999,639.0,332,0.1102503912363067,Nenhum,0,0.02128485259667485,1
WV,67,area_code_415,0,1,30,129.6,107,22.03,233.0,104,19.81,297.0,93,13.37,14.5,5,3.92,1,59.13,674.1,310,0.087716955941255,Apenas Correio de Voz,0,0.021409220746794987,2
VT,120,area_code_415,0,0,0,221.3,106,37.62,267.6,98,22.75,111.5,80,5.02,9.3,7,2.51,0,67.9,609.7,291,0.1113662456946039,Nenhum,0,0.021295692733106625,1
ID,166,area_code_415,0,0,0,220.7,106,37.52,177.8,118,15.11,206.1,102,9.27,12.4,9,3.35,1,65.25,617.0,336,0.1057536466774716,Nenhum,0,0.021283906597368393,1
OR,66,area_code_408,0,0,0,87.6,76,14.89,262.0,111,22.27,184.6,125,8.31,9.2,5,2.48,1,47.95,543.4000000000001,318,0.0882407066617592,Nenhum,0,0.02228257006872137,0
GA,76,area_code_408,0,0,0,203.6,61,34.61,161.7,127,13.74,175.9,97,7.92,8.4,3,2.27,0,58.540000000000006,549.5999999999999,288,0.106513828238719,Nenhum,0,0.02128149066301046,1
ME,79,area_code_415,0,0,0,213.6,110,36.31,234.9,121,19.97,229.6,157,10.33,8.8,3,2.38,2,68.99,686.9,393,0.1004367447954578,Nenhum,0,0.021321422794583298,1
HI,98,area_code_415,0,1,31,181.6,112,30.87,220.7,100,18.76,236.3,121,10.63,12.9,4,3.48,2,63.74,651.4999999999999,339,0.0978357636224098,Apenas Correio de Voz,0,0.021516812569376226,2
AZ,141,area_code_510,0,1,22,215.4,123,36.62,328.7,98,27.94,160.5,89,7.22,7.8,6,2.11,1,73.89,712.4,317,0.1037198203256597,Apenas Correio de Voz,0,0.021632684872893354,2
UT,49,area_code_415,0,0,0,266.3,90,45.27,207.8,117,17.66,205.0,98,9.23,14.0,2,3.78,2,75.94000000000001,693.1,309,0.109565719232434,Nenhum,1,0.9693198821886444,3
IA,46,area_code_510,0,0,0,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,10.2,2,2.75,3,60.97,595.1,283,0.1024533691816501,Nenhum,0,0.02140814768775525,1
CT,137,area_code_415,0,0,0,115.0,130,19.55,137.8,83,11.71,224.0,61,10.08,7.3,4,1.97,3,43.31,484.1,281,0.0894649865730221,Nenhum,0,0.021391866947662066,0
WA,171,area_code_408,0,0,0,270.5,69,45.99,230.0,112,19.55,136.0,111,6.12,9.6,5,2.59,1,74.25000000000001,646.1,298,0.114920290976629,Nenhum,1,0.9692375766827477,3
VA,10,area_code_415,0,0,0,222.2,127,37.77,153.1,125,13.01,227.4,80,10.23,12.9,4,3.48,1,64.49000000000001,615.5999999999999,337,0.104759584145549,Nenhum,0,0.02128153637764028,1
CO,88,area_code_510,0,0,0,61.9,78,10.52,262.6,114,22.32,212.5,110,9.56,8.8,2,2.38,3,44.78000000000001,545.8,307,0.0820447050201539,Nenhum,0,0.023248456130349593,0
LA,89,area_code_415,0,0,0,141.1,92,23.99,249.1,126,21.17,136.0,73,6.12,10.8,2,2.92,2,54.2,537.0,295,0.1009310986964618,Nenhum,0,0.021306273567547326,0
TX,82,area_code_415,0,0,0,189.2,81,32.16,184.4,117,15.67,255.8,83,11.51,10.6,5,2.86,3,62.2,640.0000000000001,289,0.0971874999999999,Nenhum,1,0.8505656784460305,3
SD,139,area_code_510,0,0,0,196.0,135,33.32,186.0,146,15.81,153.0,92,6.89,9.8,1,2.65,3,58.67,544.8,377,0.1076908957415565,Nenhum,0,0.021294490236822325,1
VA,87,area_code_415,0,0,0,171.6,119,29.17,205.0,107,17.43,170.6,114,7.68,13.8,4,3.73,0,58.01,561.0,344,0.1034046345811051,Nenhum,0,0.02258345607657533,1
NY,137,area_code_415,1,0,0,174.0,123,29.58,161.3,115,13.71,260.7,98,11.73,11.4,3,3.08,2,58.1,607.4,341,0.0956536055317747,Apenas Internacional,0,0.021297827181727305,1
WA,45,area_code_510,0,0,0,78.6,106,13.36,187.3,110,15.92,184.2,111,8.29,7.4,5,2.0,1,39.57,457.5,333,0.0864918032786885,Nenhum,1,0.8478596025906713,3
WI,90,area_code_415,0,0,0,200.9,92,34.15,164.3,91,13.97,249.0,98,11.21,8.9,7,2.4,1,61.73,623.1,289,0.099069170277644,Nenhum,0,0.021282082118885402,1
TN,103,area_code_415,0,0,0,141.3,123,24.02,253.6,87,21.56,215.8,96,9.71,6.4,2,1.73,1,57.02,617.1,309,0.0923999351806838,Nenhum,0,0.021320882416296434,0
CT,100,area_code_415,0,0,0,235.8,130,40.09,176.0,69,14.96,63.6,122,2.86,7.3,1,1.97,2,59.88,482.7000000000001,324,0.1240522063393412,Nenhum,0,0.02131053550763971,1
WA,110,area_code_510,0,0,0,185.1,100,31.47,165.1,88,14.03,111.6,104,5.02,6.3,4,1.7,3,52.22,468.1,299,0.1115573595385601,Nenhum,0,0.021292359977093667,1
NH,124,area_code_415,0,0,0,254.3,113,43.23,78.9,104,6.71,153.2,69,6.89,11.8,2,3.19,2,60.02,498.2000000000001,290,0.1204737053392211,Nenhum,0,0.021328641477459952,1
MT,10,area_code_510,0,0,0,183.0,103,31.11,214.8,77,18.26,206.4,73,9.29,8.7,6,2.35,2,61.010000000000005,612.9000000000001,261,0.099543155490292,Nenhum,0,0.021322955241744084,1
NE,89,area_code_415,0,1,29,163.5,80,27.8,274.8,136,23.36,381.9,147,17.19,7.5,5,2.03,2,70.38,827.7,370,0.0850308082638637,Apenas Correio de Voz,0,0.021375865079427105,2
WA,121,area_code_408,0,0,0,207.9,98,35.34,210.5,96,17.89,109.6,114,4.93,7.7,2,2.08,2,60.24,535.7,312,0.1124509986932984,Nenhum,0,0.021287115285046274,1
WI,101,area_code_415,0,0,0,248.6,102,42.26,174.9,93,14.87,207.2,86,9.32,6.1,3,1.65,3,68.1,636.8000000000001,287,0.1069409547738693,Nenhum,0,0.0213948512634774,1
AR,103,area_code_415,0,1,31,185.4,105,31.52,197.6,126,16.8,147.1,110,6.62,14.5,4,3.92,2,58.86,544.6,347,0.108079324274697,Apenas Correio de Voz,0,0.021316741592040687,2
WI,51,area_code_408,0,0,0,197.8,60,33.63,221.0,64,18.79,168.6,134,7.59,8.9,5,2.4,1,62.41,596.3,264,0.1046620828442059,Nenhum,0,0.02266522206081021,1
DE,2,area_code_415,1,0,0,132.1,42,22.46,138.9,88,11.81,192.6,119,8.67,9.1,1,2.46,2,45.400000000000006,472.7000000000001,252,0.096044002538608,Apenas Internacional,1,0.9688094689136356,3
NH,111,area_code_510,0,0,0,197.1,117,33.51,227.8,128,19.36,214.0,101,9.63,9.3,11,2.51,0,65.01,648.1999999999999,357,0.1002931194075902,Nenhum,0,0.021291916269333713,1
